Root-label,Root,Model,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,Vis Precision,Vis Recall,oks mAP,oks mAR,Average Root Length,Median error (% root length)
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v000,230314_180620.multi_instance.n=349,0.422269679,6.909531908,13.29569107,37.93331332,2.73492719,6.822893641,0.995804196,0.930718954,0.012376345,0.05922619,94.90145824,0.4449559435979432
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v001,230314_184738.multi_instance.n=351,0.333268686,10.2510988,20.8534189,44.00209689,3.45264324,8.401243845,1.0,0.924324324,0.006459365,0.03215859,94.90145824,0.3511734089029315
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v002,230314_212133.multi_instance.n=345,0.341868983,3.189301839,8.067691882,13.69559065,1.314601879,3.237639648,0.998721228,0.96538937,0.003610873,0.031111111,94.90145824,0.36023575331733493
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v000,230310_235104.multi_instance.n=440,0.349562293,8.242865612,17.8902159,36.69394264,2.94470505,7.394207063,0.985327314,0.960924601,0.01336336,0.071755725,118.7363843,0.29440200243658593
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v001,230311_002621.multi_instance.n=432,0.291206661,2.477842412,4.936091915,16.14281848,1.175886048,3.454860393,0.988970588,0.959001783,0.02164341,0.08856305,118.7363843,0.24525478244666407
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v002,230311_004948.multi_instance.n=441,0.34103482,6.499150266,16.05195584,35.94013373,2.675950217,7.130412522,0.981676846,0.958265583,0.023996223,0.097164461,118.7363843,0.28722014908112714
Arabidopsis lateral (7 DAG),plantwise_split_arabidopsis_7dap_lr.v000,230609_142149.multi_instance.n=246,0.905774521,5.365597201,8.37249899,13.66968224,2.112559302,2.830792472,1.0,0.849206349,0.000258287,0.003448276,85.57050619,1.0585125194758416
Arabidopsis lateral (7 DAG),plantwise_split_arabidopsis_7dap_lr.v001,230609_162829.multi_instance.n=250,0.726252955,5.630271984,7.474193226,14.75696903,1.928399558,2.92568879,0.995,0.861471861,0.0,0.0,85.57050619,0.8487187786261708
Arabidopsis lateral (7 DAG),plantwise_split_arabidopsis_7dap_lr.v002,230609_165641.multi_instance.n=244,0.896078794,4.965916128,6.822885627,12.96051402,1.948329116,2.471609023,1.0,0.888059701,0.002008457,0.013793103,85.57050619,1.0471818315651358
